Saved Metrics:
Look Back = 120
Prediction Length = 30
MeanSquaredError = 'mse'
MeanAbsolutePercentageError = 'mape'
AUC = 'auc'
TruePositives = 'TP'
TrueNegatives = 'TN'
FalsePositives = 'FP'
FalseNegatives = 'FN'
CategoricalAccuracy = 'catAcc'
-------------------------------------


,,,training performance
ticker,itteration,run time,val_loss,val_out_open_loss,val_out_high_loss,val_out_low_loss,val_out_close_loss,val_out_vol_loss,val_out_cat_loss,val_out_open_mse,val_out_open_mape,val_out_high_mse,val_out_high_mape,val_out_low_mse,val_out_low_mape,val_out_close_mse,val_out_close_mape,val_out_vol_mse,val_out_vol_mape,val_out_cat_auc,val_out_cat_catAcc,val_out_cat_TP,val_out_cat_TN,val_out_cat_FP,val_out_cat_FN,loss,out_open_loss,out_high_loss,out_low_loss,out_close_loss,out_vol_loss,out_cat_loss,out_open_mse,out_open_mape,out_high_mse,out_high_mape,out_low_mse,out_low_mape,out_close_mse,out_close_mape,out_vol_mse,out_vol_mape,out_cat_auc,out_cat_catAcc,out_cat_TP,out_cat_TN,out_cat_FP,out_cat_FN,learning_rate
